region,class,period,fromYear,toYear,width,gain,loss,net
Northeast,Nonmechanically disturbed,1986-1992,1986,1992,6,0,14.5,-14.5
Northeast,Nonmechanically disturbed,1992-2000,1992,2000,8,0,3.25,-3.25
Northeast,Nonmechanically disturbed,2001-2006,2001,2006,5,0,0,0
Northeast,Nonmechanically disturbed,2006-2011,2006,2011,5,0,0,0
Northeast,Snow/Ice,1973-1980,1973,1980,7,0,0,0
Northeast,Snow/Ice,1980-1986,1980,1986,6,0,0,0
Northeast,Snow/Ice,1986-1992,1986,1992,6,0,0,0
Northeast,Snow/Ice,1992-2000,1992,2000,8,0,0,0
Northeast,Snow/Ice,2001-2006,2001,2006,5,0,0,0
Northeast,Snow/Ice,2006-2011,2006,2011,5,0,0,0
Northeast,Water,1973-1980,1973,1980,7,13.714285714285714,3.142857142857143,10.571428571428571
Northeast,Water,1980-1986,1980,1986,6,12,2.8333333333333335,9.166666666666666
Northeast,Water,1986-1992,1986,1992,6,11,3.1666666666666665,7.833333333333334
Northeast,Water,1992-2000,1992,2000,8,7.5,9.5,-2
Northeast,Water,2001-2006,2001,2006,5,8.8,15.399999999999999,-6.599999999999998
Northeast,Water,2006-2011,2006,2011,5,13.2,11.4,1.799999999999999
Northeast,Wetland,1973-1980,1973,1980,7,4.428571428571429,14.428571428571429,-10
Northeast,Wetland,1980-1986,1980,1986,6,5.333333333333333,13.833333333333334,-8.5
Northeast,Wetland,1986-1992,1986,1992,6,5.833333333333333,16.5,-10.666666666666668
Northeast,Wetland,1992-2000,1992,2000,8,11,21,-10
Northeast,Wetland,2001-2006,2001,2006,5,13.799999999999999,31.6,-17.800000000000004
Northeast,Wetland,2006-2011,2006,2011,5,18.8,19.4,-0.5999999999999979
Northern Great Plains,Agriculture,1973-1980,1973,1980,7,1392.7142857142858,689.8571428571429,702.8571428571429
Northern Great Plains,Agriculture,1980-1986,1980,1986,6,1409.3333333333335,883.5,525.8333333333335
Northern Great Plains,Agriculture,1986-1992,1986,1992,6,631.3333333333334,3596.833333333333,-2965.4999999999995
Northern Great Plains,Agriculture,1992-2000,1992,2000,8,1132.625,1827.375,-694.75
Northern Great Plains,Agriculture,2001-2006,2001,2006,5,508.2,359.8,148.39999999999998
Northern Great Plains,Agriculture,2006-2011,2006,2011,5,433.20000000000005,233.2,200.00000000000006
Northern Great Plains,Barren,1973-1980,1973,1980,7,4,22.857142857142854,-18.857142857142854
Northern Great Plains,Barren,1980-1986,1980,1986,6,22.5,12.333333333333334,10.166666666666666
Northern Great Plains,Barren,1986-1992,1986,1992,6,85.33333333333333,18.666666666666668,66.66666666666666
Northern Great Plains,Barren,1992-2000,1992,2000,8,37.75,35.375,2.375
Northern Great Plains,Barren,2001-2006,2001,2006,5,59.8,45.2,14.599999999999994
Northern Great Plains,Barren,2006-2011,2006,2011,5,37.4,56.400000000000006,-19.000000000000007
Northern Great Plains,Developed,1973-1980,1973,1980,7,85.42857142857143,0.14285714285714285,85.28571428571429
Northern Great Plains,Developed,1980-1986,1980,1986,6,43,0,43
Northern Great Plains,Developed,1986-1992,1986,1992,6,77.5,0.3333333333333333,77.16666666666667
Northern Great Plains,Developed,1992-2000,1992,2000,8,74.75,0,74.75
Northern Great Plains,Developed,2001-2006,2001,2006,5,52.800000000000004,0,52.800000000000004
Northern Great Plains,Developed,2006-2011,2006,2011,5,40,0,40
Northern Great Plains,Forest,1973-1980,1973,1980,7,80.42857142857143,205.85714285714286,-125.42857142857143
Northern Great Plains,Forest,1980-1986,1980,1986,6,122.66666666666666,394,-271.33333333333337
Northern Great Plains,Forest,1986-1992,1986,1992,6,107.16666666666667,1065.1666666666667,-958.0000000000001
Northern Great Plains,Forest,1992-2000,1992,2000,8,277.125,451.5,-174.375
Northern Great Plains,Forest,2001-2006,2001,2006,5,47.800000000000004,742.4000000000001,-694.6000000000001
Northern Great Plains,Forest,2006-2011,2006,2011,5,35.4,553.2,-517.8000000000001
Northern Great Plains,Grassland/Shrubland,1973-1980,1973,1980,7,1089.4285714285716,1433,-343.57142857142844
Northern Great Plains,Grassland/Shrubland,1980-1986,1980,1986,6,1046.1666666666667,1504.3333333333335,-458.16666666666674
Northern Great Plains,Grassland/Shrubland,1986-1992,1986,1992,6,3943,876.5,3066.5
Northern Great Plains,Grassland/Shrubland,1992-2000,1992,2000,8,2382.375,1459.75,922.625
Northern Great Plains,Grassland/Shrubland,2001-2006,2001,2006,5,1329.6000000000001,593.4,736.2000000000002
Northern Great Plains,Grassland/Shrubland,2006-2011,2006,2011,5,625.2,745.6,-120.39999999999998
Northern Great Plains,Mechanically disturbed,1973-1980,1973,1980,7,189.28571428571428,290.7142857142857,-101.42857142857144
Northern Great Plains,Mechanically disturbed,1980-1986,1980,1986,6,323.5,220.5,103
Northern Great Plains,Mechanically disturbed,1986-1992,1986,1992,6,361.3333333333333,323.1666666666667,38.16666666666663
Northern Great Plains,Mechanically disturbed,1992-2000,1992,2000,8,189.25,271.5,-82.25
Northern Great Plains,Mechanically disturbed,2001-2006,2001,2006,5,0,0,0
Northern Great Plains,Mechanically disturbed,2006-2011,2006,2011,5,0,0,0
Northern Great Plains,Mining,1973-1980,1973,1980,7,19.142857142857142,6.857142857142857,12.285714285714285
Northern Great Plains,Mining,1980-1986,1980,1986,6,11.333333333333332,5,6.333333333333332
Northern Great Plains,Mining,1986-1992,1986,1992,6,11.833333333333332,3.3333333333333335,8.499999999999998
Northern Great Plains,Mining,1992-2000,1992,2000,8,14.25,2.875,11.375
Northern Great Plains,Mining,2001-2006,2001,2006,5,0,0,0
Northern Great Plains,Mining,2006-2011,2006,2011,5,0,0,0
Northern Great Plains,Nonmechanically disturbed,1973-1980,1973,1980,7,10,198.57142857142858,-188.57142857142858
Northern Great Plains,Nonmechanically disturbed,1980-1986,1980,1986,6,4.666666666666667,11.666666666666666,-6.999999999999999
Northern Great Plains,Nonmechanically disturbed,1986-1992,1986,1992,6,885.3333333333334,4.666666666666667,880.6666666666667
Northern Great Plains,Nonmechanically disturbed,1992-2000,1992,2000,8,315.75,664,-348.25
Northern Great Plains,Nonmechanically disturbed,2001-2006,2001,2006,5,0,0,0
Northern Great Plains,Nonmechanically disturbed,2006-2011,2006,2011,5,0,0,0
Northern Great Plains,Snow/Ice,1973-1980,1973,1980,7,0,0.8571428571428571,-0.8571428571428571
Northern Great Plains,Snow/Ice,1980-1986,1980,1986,6,0,1.1666666666666665,-1.1666666666666665
Northern Great Plains,Snow/Ice,1986-1992,1986,1992,6,0.16666666666666666,0.6666666666666666,-0.5
Northern Great Plains,Snow/Ice,1992-2000,1992,2000,8,0,3.875,-3.875
Northern Great Plains,Snow/Ice,2001-2006,2001,2006,5,0,0,0
Northern Great Plains,Snow/Ice,2006-2011,2006,2011,5,0,0,0
Northern Great Plains,Water,1973-1980,1973,1980,7,117.42857142857142,199.28571428571428,-81.85714285714286
Northern Great Plains,Water,1980-1986,1980,1986,6,262.3333333333333,107.16666666666667,155.16666666666663
Northern Great Plains,Water,1986-1992,1986,1992,6,209.5,507,-297.5
Northern Great Plains,Water,1992-2000,1992,2000,8,777,54.875,722.125
Northern Great Plains,Water,2001-2006,2001,2006,5,82,405.6,-323.6
Northern Great Plains,Water,2006-2011,2006,2011,5,620.8000000000001,11.6,609.2
Northern Great Plains,Wetland,1973-1980,1973,1980,7,195.14285714285714,135,60.14285714285714
Northern Great Plains,Wetland,1980-1986,1980,1986,6,124.66666666666667,230.5,-105.83333333333333
Northern Great Plains,Wetland,1986-1992,1986,1992,6,303.8333333333333,220,83.83333333333331
Northern Great Plains,Wetland,1992-2000,1992,2000,8,161.375,591.125,-429.75
Northern Great Plains,Wetland,2001-2006,2001,2006,5,399.6,333.40000000000003,66.19999999999999
Northern Great Plains,Wetland,2006-2011,2006,2011,5,76.6,268.6,-192.00000000000003
Northwest,Agriculture,1973-1980,1973,1980,7,402.2857142857143,182.42857142857144,219.85714285714283
Northwest,Agriculture,1980-1986,1980,1986,6,281.16666666666663,282.6666666666667,-1.5000000000000568
Northwest,Agriculture,1986-1992,1986,1992,6,209.66666666666666,811.8333333333334,-602.1666666666667
Northwest,Agriculture,1992-2000,1992,2000,8,210.375,235.5,-25.125
Northwest,Agriculture,2001-2006,2001,2006,5,72.39999999999999,151,-78.60000000000001
Northwest,Agriculture,2006-2011,2006,2011,5,99.2,46.6,52.6
Northwest,Barren,1973-1980,1973,1980,7,8.142857142857142,10,-1.8571428571428577
Northwest,Barren,1980-1986,1980,1986,6,7.166666666666667,13.166666666666666,-5.999999999999999
Northwest,Barren,1986-1992,1986,1992,6,10.666666666666666,9,1.666666666666666
Northwest,Barren,1992-2000,1992,2000,8,12.875,8.625,4.25
Northwest,Barren,2001-2006,2001,2006,5,251.39999999999998,238.79999999999998,12.599999999999994
Northwest,Barren,2006-2011,2006,2011,5,139.6,242.6,-103
Northwest,Developed,1973-1980,1973,1980,7,107.28571428571429,1.2857142857142856,106
Northwest,Developed,1980-1986,1980,1986,6,109.66666666666666,2.833333333333333,106.83333333333333
Northwest,Developed,1986-1992,1986,1992,6,146.5,1.1666666666666665,145.33333333333334
Northwest,Developed,1992-2000,1992,2000,8,129.25,0.75,128.5
Northwest,Developed,2001-2006,2001,2006,5,57.8,0,57.8
Northwest,Developed,2006-2011,2006,2011,5,34.8,0,34.8
Northwest,Forest,1973-1980,1973,1980,7,641.8571428571429,1058,-416.1428571428571
Northwest,Forest,1980-1986,1980,1986,6,1122,1533.6666666666667,-411.66666666666674
Northwest,Forest,1986-1992,1986,1992,6,1311,1943.3333333333335,-632.3333333333335
Northwest,Forest,1992-2000,1992,2000,8,1351.875,2122.375,-770.5
Northwest,Forest,2001-2006,2001,2006,5,207.8,1281.2,-1073.4
Northwest,Forest,2006-2011,2006,2011,5,129.2,1559.3999999999999,-1430.1999999999998
Northwest,Grassland/Shrubland,1973-1980,1973,1980,7,1091,624.2857142857143,466.71428571428567
Northwest,Grassland/Shrubland,1980-1986,1980,1986,6,1039.5,1277.8333333333333,-238.33333333333326
Northwest,Grassland/Shrubland,1986-1992,1986,1992,6,1924.6666666666667,1545.3333333333335,379.33333333333326
Northwest,Grassland/Shrubland,1992-2000,1992,2000,8,1148,1383.375,-235.375
