region,class,period,fromYear,toYear,width,gain,loss,net
Southeast,Wetland,1992-2000,1992,2000,8,234.625,703.5,-468.875
Southeast,Wetland,2001-2006,2001,2006,5,325.4,459.8,-134.40000000000003
Southeast,Wetland,2006-2011,2006,2011,5,233.4,274.40000000000003,-41.00000000000003
Southern Great Plains,Agriculture,1973-1980,1973,1980,7,1393.857142857143,867.5714285714286,526.2857142857143
Southern Great Plains,Agriculture,1980-1986,1980,1986,6,926.5,1176.5,-250
Southern Great Plains,Agriculture,1986-1992,1986,1992,6,865.8333333333334,4552.666666666666,-3686.8333333333326
Southern Great Plains,Agriculture,1992-2000,1992,2000,8,1197,1438.75,-241.75
Southern Great Plains,Agriculture,2001-2006,2001,2006,5,253.8,237,16.80000000000001
Southern Great Plains,Agriculture,2006-2011,2006,2011,5,267.8,223.20000000000002,44.599999999999994
Southern Great Plains,Barren,1973-1980,1973,1980,7,34.285714285714285,23.428571428571427,10.857142857142858
Southern Great Plains,Barren,1980-1986,1980,1986,6,19.666666666666668,73.16666666666667,-53.5
Southern Great Plains,Barren,1986-1992,1986,1992,6,43.83333333333333,38.33333333333333,5.5
Southern Great Plains,Barren,1992-2000,1992,2000,8,20.5,31.75,-11.25
Southern Great Plains,Barren,2001-2006,2001,2006,5,98.6,73.2,25.39999999999999
Southern Great Plains,Barren,2006-2011,2006,2011,5,170.6,37.4,133.2
Southern Great Plains,Developed,1973-1980,1973,1980,7,308.2857142857143,0.2857142857142857,308
Southern Great Plains,Developed,1980-1986,1980,1986,6,265.6666666666667,1.1666666666666665,264.5
Southern Great Plains,Developed,1986-1992,1986,1992,6,270.5,1.5,269
Southern Great Plains,Developed,1992-2000,1992,2000,8,325.5,2,323.5
Southern Great Plains,Developed,2001-2006,2001,2006,5,347,0,347
Southern Great Plains,Developed,2006-2011,2006,2011,5,295.20000000000005,0,295.20000000000005
Southern Great Plains,Forest,1973-1980,1973,1980,7,406,729.5714285714286,-323.57142857142856
Southern Great Plains,Forest,1980-1986,1980,1986,6,685.6666666666666,1408,-722.3333333333334
Southern Great Plains,Forest,1986-1992,1986,1992,6,1231.6666666666667,1090.1666666666667,141.5
Southern Great Plains,Forest,1992-2000,1992,2000,8,798.375,935.5,-137.125
Southern Great Plains,Forest,2001-2006,2001,2006,5,228.2,709.1999999999999,-480.99999999999994
Southern Great Plains,Forest,2006-2011,2006,2011,5,391,1090.4,-699.4000000000001
Southern Great Plains,Grassland/Shrubland,1973-1980,1973,1980,7,870.2857142857142,1548.2857142857144,-678.0000000000002
Southern Great Plains,Grassland/Shrubland,1980-1986,1980,1986,6,1259,1177.6666666666667,81.33333333333326
Southern Great Plains,Grassland/Shrubland,1986-1992,1986,1992,6,4650.166666666666,1353.1666666666667,3296.999999999999
Southern Great Plains,Grassland/Shrubland,1992-2000,1992,2000,8,1580.75,1603.125,-22.375
Southern Great Plains,Grassland/Shrubland,2001-2006,2001,2006,5,765.5999999999999,707.4,58.19999999999993
Southern Great Plains,Grassland/Shrubland,2006-2011,2006,2011,5,1062,878.8,183.20000000000005
Southern Great Plains,Mechanically disturbed,1973-1980,1973,1980,7,517.1428571428571,410,107.14285714285711
Southern Great Plains,Mechanically disturbed,1980-1986,1980,1986,6,1179.3333333333333,616.5,562.8333333333333
Southern Great Plains,Mechanically disturbed,1986-1992,1986,1992,6,939.5,1208.3333333333335,-268.8333333333335
Southern Great Plains,Mechanically disturbed,1992-2000,1992,2000,8,766.5,707.25,59.25
Southern Great Plains,Mechanically disturbed,2001-2006,2001,2006,5,0,0,0
Southern Great Plains,Mechanically disturbed,2006-2011,2006,2011,5,0,0,0
Southern Great Plains,Mining,1973-1980,1973,1980,7,52.57142857142857,12,40.57142857142857
Southern Great Plains,Mining,1980-1986,1980,1986,6,85.83333333333333,16,69.83333333333333
Southern Great Plains,Mining,1986-1992,1986,1992,6,76.83333333333333,31,45.83333333333333
Southern Great Plains,Mining,1992-2000,1992,2000,8,65.125,20.375,44.75
Southern Great Plains,Mining,2001-2006,2001,2006,5,0,0,0
Southern Great Plains,Mining,2006-2011,2006,2011,5,0,0,0
Southern Great Plains,Nonmechanically disturbed,1973-1980,1973,1980,7,0,0,0
Southern Great Plains,Nonmechanically disturbed,1980-1986,1980,1986,6,0,0,0
Southern Great Plains,Nonmechanically disturbed,1986-1992,1986,1992,6,13.166666666666666,0,13.166666666666666
Southern Great Plains,Nonmechanically disturbed,1992-2000,1992,2000,8,32.625,9.75,22.875
Southern Great Plains,Nonmechanically disturbed,2001-2006,2001,2006,5,0,0,0
Southern Great Plains,Nonmechanically disturbed,2006-2011,2006,2011,5,0,0,0
Southern Great Plains,Snow/Ice,1973-1980,1973,1980,7,0,0,0
Southern Great Plains,Snow/Ice,1980-1986,1980,1986,6,0,0,0
Southern Great Plains,Snow/Ice,1986-1992,1986,1992,6,0,0,0
Southern Great Plains,Snow/Ice,1992-2000,1992,2000,8,0,0,0
Southern Great Plains,Snow/Ice,2001-2006,2001,2006,5,0,0,0
Southern Great Plains,Snow/Ice,2006-2011,2006,2011,5,0,0,0
Southern Great Plains,Water,1973-1980,1973,1980,7,76,49.14285714285714,26.85714285714286
Southern Great Plains,Water,1980-1986,1980,1986,6,156,119.5,36.5
